system:index,BT_B10,MNDWI,NDBI,NDVI,date,.geo
2_LC09_118038_20240803_328,323.489921,-0.2855931024892227,-0.03943184888094587,0.22783202106180467,2024-08-03,"{""type"":""Point"",""coordinates"":[121.69502786963318,31.839455284583348]}"
2_LC09_118038_20240803_329,316.27448078,-0.3494674596741973,-0.3181794586363821,0.667654184057675,2024-08-03,"{""type"":""Point"",""coordinates"":[121.62227663197228,31.057532739090764]}"
2_LC09_118038_20240803_330,313.72805588,-0.5108503719714,-0.2759473769392616,0.7750744626785979,2024-08-03,"{""type"":""Point"",""coordinates"":[122.03784486061193,31.30774264619796]}"
2_LC09_118038_20240803_331,322.82682511999997,-0.4284472859315353,-0.19511981859621919,0.6368920256762367,2024-08-03,"{""type"":""Point"",""coordinates"":[121.20398273628061,31.286710291605537]}"
2_LC09_118038_20240803_332,308.74458272,0.6783731595462231,-0.3760243502692585,-0.12668103128018435,2024-08-03,"{""type"":""Point"",""coordinates"":[121.9504706701821,31.33092551752649]}"
2_LC09_118038_20240803_334,318.23984228,-0.3932154328085968,-0.2764257361004568,0.6731724435806069,2024-08-03,"{""type"":""Point"",""coordinates"":[121.54366809807102,31.658046079838098]}"
2_LC09_118038_20240803_335,306.65959052,0.8819168097851131,-0.7679262369309299,-0.3784100612182874,2024-08-03,"{""type"":""Point"",""coordinates"":[121.48109842307396,31.79323641385079]}"
2_LC09_118038_20240803_337,312.01562786,-0.46663500893200366,-0.2897573902616637,0.7614201431209949,2024-08-03,"{""type"":""Point"",""coordinates"":[121.87410433950191,31.520032323417364]}"
2_LC09_118038_20240803_338,303.1185218,0.9594679046513704,-4.676113360323919,-1.2115268557634267,2024-08-03,"{""type"":""Point"",""coordinates"":[122.18710823030676,31.687096996846645]}"
2_LC09_118038_20240803_339,323.30876594,-0.2450279445011879,-0.22825537969055662,0.5140078742228809,2024-08-03,"{""type"":""Point"",""coordinates"":[121.01879740696408,31.118168724568644]}"
2_LC09_118038_20240803_340,317.79549968000003,-0.4297703600092345,-0.0961777014701149,0.4520736436312361,2024-08-03,"{""type"":""Point"",""coordinates"":[121.73932784312593,31.58027323039625]}"
2_LC09_118038_20240803_341,331.79912762000004,-0.19924544558526922,0.03868027995432095,0.09560903321413616,2024-08-03,"{""type"":""Point"",""coordinates"":[121.32550876329003,31.19469179040029]}"
2_LC09_118038_20240803_342,304.52332802,0.5204114868899624,-0.1381606223934836,-0.422590104301993,2024-08-03,"{""type"":""Point"",""coordinates"":[122.1421128352087,31.22770276733248]}"
2_LC09_118038_20240803_345,305.15907974000004,0.5768870006621055,-0.205666045162627,-0.42300876181978153,2024-08-03,"{""type"":""Point"",""coordinates"":[122.07242479045051,31.23883466657066]}"
2_LC09_118038_20240803_346,319.93176217999996,-0.289833694866233,-0.20953371304327265,0.4856885740826752,2024-08-03,"{""type"":""Point"",""coordinates"":[121.17600378215405,31.55175841111579]}"
2_LC09_118038_20240803_347,305.3915051,0.820536958240765,-0.40260716971672067,-0.6096829327845407,2024-08-03,"{""type"":""Point"",""coordinates"":[121.36600586151408,31.575264887720866]}"
2_LC09_118038_20240803_348,305.48720965999996,0.6909232270764754,-0.27086829268292717,-0.4994466646172763,2024-08-03,"{""type"":""Point"",""coordinates"":[121.87436493447119,31.372070778564932]}"
2_LC09_118038_20240803_349,320.95375016,-0.09581465953448037,-0.3521165886702137,0.5827851014333242,2024-08-03,"{""type"":""Point"",""coordinates"":[120.9176456133442,31.550629168732353]}"
2_LC09_118038_20240803_350,325.94405936,-0.163600782778865,-0.13298887374393764,0.2678206583427922,2024-08-03,"{""type"":""Point"",""coordinates"":[121.53210787270538,31.13189237564561]}"
