BT_B10,MNDWI,NDBI,NDVI,date,lon,lat,LST_C
283.00689212,-0.1216095083164567,0.0340036115447003,0.1765232139861705,2023-01-29,120.96254552328203,31.35812365484797,9.856892119999998
279.64697846,0.867781000872264,-0.7081840974212034,-0.4597740208988191,2023-01-29,121.77589980942962,31.419877517265583,6.496978460000037
283.64606186000003,-0.1728490468830498,-0.0746170066817408,0.2110054970224462,2023-01-29,121.43614620351103,31.290560076423528,10.496061860000054
290.49235592,0.0107125466645027,-0.0334346504559271,0.0343368075763186,2023-01-29,121.8731773737526,31.06344142108422,17.342355920000045
282.90776954,-0.0195777476609574,-0.1142224870201718,0.1720134889134263,2023-01-29,121.02965674396282,31.192042717174218,9.757769540000027
282.06693662,-0.1759376795521051,-0.142910011686794,0.3052530892346707,2023-01-29,121.04123569982099,31.201840162167052,8.916936620000001
278.9189402,0.8821116534722507,-0.610780065005417,-0.5950703026589046,2023-01-29,122.03061760819413,31.039695417039088,5.768940200000031
283.49225096,-0.2232715334105832,0.0311589366239602,0.1188021092802692,2023-01-29,121.21069649321818,31.56515656290345,10.342250960000001
279.93409214,0.8534721639096484,-0.6796107592031585,-0.4453488548345534,2023-01-29,121.55855033170825,31.4922736167343,6.784092140000041
277.87302608,0.8832357090940187,-0.8240788456583358,-0.3042078751766081,2023-01-29,122.16672707880193,31.67234116787298,4.723026080000011
284.8150247,-0.2215082128122939,0.0047179331920477,0.2282711917179108,2023-01-29,121.57556709462173,31.142749786848015,11.665024700000004
283.14361292,-0.2663032151201693,-0.1356499472135493,0.3628350390410897,2023-01-29,121.83328829029374,30.87235138518726,9.993612920000032
279.84522362,0.8748911465892597,-0.7262126230772719,-0.4567626228010054,2023-01-29,121.83681710366048,31.185228986836634,6.695223620000036
284.05280624,-0.4483764367816091,0.0536344205151789,0.3753693084722591,2023-01-29,121.63424442874738,31.778921968931655,10.902806240000018
280.89797378000003,0.0499128553398642,-0.2318419805877135,0.1397037336750062,2023-01-29,121.83188587576355,31.02029369650554,7.747973780000052
277.98582074,0.898126638392191,-0.8376468989878404,-0.3266459240821405,2023-01-29,122.1665095621167,31.67454285891457,4.835820740000031
